latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.3705,75.1169,318.5,1.4,1.2,10/3/2023,815,Aqua,MODIS,69,61.03,301.9,16,D,0
31.4109,75.0705,317,1.4,1.2,10/3/2023,815,Aqua,MODIS,66,61.03,302.9,12.6,D,0
31.4526,75.0599,312.7,1.4,1.2,10/3/2023,815,Aqua,MODIS,52,61.03,301.2,8.3,D,0
31.4864,75.0911,317.4,1.4,1.2,10/3/2023,815,Aqua,MODIS,67,61.03,302.6,12.4,D,0
31.5,75.1644,321.2,1.4,1.2,10/3/2023,815,Aqua,MODIS,73,61.03,302.3,19.7,D,0
31.5027,75.179,312.6,1.4,1.2,10/3/2023,815,Aqua,MODIS,54,61.03,301.7,7.4,D,0
31.515,75.0685,315.4,1.4,1.2,10/3/2023,815,Aqua,MODIS,56,61.03,302.3,9,D,0
31.5739,75.0635,319,1.4,1.2,10/3/2023,815,Aqua,MODIS,70,61.03,304.2,13.3,D,0
31.5902,75.1514,316.7,1.4,1.2,10/3/2023,815,Aqua,MODIS,62,61.03,303.8,9.8,D,0
31.5997,75.0259,316.3,1.4,1.2,10/3/2023,815,Aqua,MODIS,64,61.03,304.1,9.5,D,0
31.6024,75.0407,317.8,1.4,1.2,10/3/2023,815,Aqua,MODIS,67,61.03,304,11.8,D,0
31.6708,75.1396,315.1,1.4,1.2,10/3/2023,815,Aqua,MODIS,59,61.03,302.8,8.2,D,0
31.6759,74.8111,314.9,1.5,1.2,10/3/2023,815,Aqua,MODIS,58,61.03,302.3,10.7,D,0
31.6861,73.9319,316,1.7,1.3,10/3/2023,815,Aqua,MODIS,54,61.03,302.9,12.4,D,0
31.7007,74.9468,318.8,1.5,1.2,10/3/2023,815,Aqua,MODIS,69,61.03,303.7,13.5,D,0
31.7038,75.0238,317.4,1.4,1.2,10/3/2023,815,Aqua,MODIS,62,61.03,304,10.4,D,0
31.7831,74.9516,317.6,1.4,1.2,10/3/2023,815,Aqua,MODIS,67,61.03,302.7,14.4,D,0
31.7858,74.9664,313.3,1.4,1.2,10/3/2023,815,Aqua,MODIS,55,61.03,302.2,8.1,D,0
31.871,73.9243,314.4,1.7,1.3,10/3/2023,815,Aqua,MODIS,49,61.03,303,11.9,D,0
31.8954,74.1126,313.5,1.6,1.3,10/3/2023,815,Aqua,MODIS,45,61.03,302.1,10.1,D,0
32.0614,74.3207,314.3,1.6,1.2,10/3/2023,815,Aqua,MODIS,54,61.03,302.4,11.6,D,0
32.2023,73.829,314,1.7,1.3,10/3/2023,815,Aqua,MODIS,42,61.03,302.9,11.5,D,0
32.2256,73.6537,324.5,1.7,1.3,10/3/2023,815,Aqua,MODIS,74,61.03,303.7,31,D,0
32.2281,73.6579,334.8,1.7,1.3,10/3/2023,815,Aqua,MODIS,85,61.03,304.4,58.5,D,0
32.2368,73.6507,322.7,1.7,1.3,10/3/2023,815,Aqua,MODIS,72,61.03,304.2,26.7,D,0
21.8805,96.1215,320.7,1.2,1.1,10/4/2023,359,Terra,MODIS,54,61.03,295.1,13.4,D,2
16.9044,96.2476,314.1,1.4,1.2,10/4/2023,400,Terra,MODIS,27,61.03,293.2,9.7,D,0
33.0569,69.7393,319.6,1.1,1,10/4/2023,534,Terra,MODIS,50,61.03,305.5,7.7,D,0
33.0583,69.7283,324,1.1,1,10/4/2023,534,Terra,MODIS,68,61.03,307.3,13.3,D,0
33.4202,69.9199,320.3,1.1,1,10/4/2023,534,Terra,MODIS,62,61.03,306.2,8.8,D,0
33.533,70.1824,322.6,1.1,1,10/4/2023,534,Terra,MODIS,72,61.03,304,13.9,D,0
33.542,70.1841,315.8,1.1,1,10/4/2023,534,Terra,MODIS,40,61.03,303.3,6.7,D,0
30.1672,77.0888,315.4,1.8,1.3,10/4/2023,535,Terra,MODIS,69,61.03,301.9,15.7,D,0
31.1448,74.3357,316,1.2,1.1,10/4/2023,535,Terra,MODIS,63,61.03,303.5,8.2,D,0
27.586,72.3253,327.1,1.1,1,10/4/2023,536,Terra,MODIS,53,61.03,313.5,8.3,D,0
27.5877,72.3146,327.2,1.1,1,10/4/2023,536,Terra,MODIS,56,61.03,314,8.1,D,0
21.1072,72.6465,322.5,1.4,1.2,10/4/2023,537,Terra,MODIS,0,61.03,305.4,18.9,D,2
23.6855,70.9457,318.3,1.1,1,10/4/2023,537,Terra,MODIS,58,61.03,306.9,5.3,D,0
18.6919,73.0472,312,1.6,1.2,10/4/2023,538,Terra,MODIS,0,61.03,296.9,10.5,D,2
18.8601,72.9331,310.9,1.6,1.2,10/4/2023,538,Terra,MODIS,0,61.03,295.2,7.2,D,0
19.3655,71.353,312.9,1.2,1.1,10/4/2023,538,Terra,MODIS,56,61.03,297.6,9.1,D,3
